user_id,book_id,rating
1,258,5
2,4081,4
2,260,5
2,9296,5
2,2318,3
2,26,4
2,315,3
2,33,4
2,301,5
2,2686,5
2,3753,5
2,8519,5
4,70,4
4,264,3
4,388,4
4,18,5
4,27,5
4,21,5
4,2,5
4,23,5
4,24,5
4,964,4
4,103,5
4,255,2
4,35,5
4,287,3
4,337,4
4,26,3
4,84,4
4,58,4
4,1117,3
4,660,3
4,111,2
4,5,4
4,413,4
4,8,4
4,2172,4
4,65,4
4,297,4
4,45,4
4,113,4
4,325,5
4,476,3
4,1237,5
4,145,2
4,36,5
4,102,5
4,222,4
4,200,4
4,13,4
4,640,3
4,693,5
4,575,3
4,55,4
1,268,3
1,5556,3
1,3638,3
1,1796,5
1,867,3
1,47,3
1,2738,3
4,1296,3
4,50,4
4,87,5
4,86,4
4,123,4
4,32,4
4,28,3
4,33,3
4,42,5
4,249,4
4,158,4
4,373,4
4,184,4
4,495,4
4,350,3
4,492,4
4,219,4
4,288,4
4,11,4
4,245,5
4,301,4
4,1057,3
4,596,3
4,782,3
4,426,3
4,3273,2
4,1037,4
4,100,3
4,48,4
4,95,4
4,1311,3
4,387,4
4,497,5
4,2190,4
4,1733,3
4,1301,3
4,489,5
4,1435,4
4,1380,5
4,221,4
4,401,4
4,131,4
4,3469,5
4,81,5
4,468,4
4,1210,5
4,436,3
4,101,4
4,4,4
4,398,3
4,117,4
4,661,4
4,85,5
4,715,4
4,1258,4
4,10,5
4,335,4
3,8452,1
3,522,1
3,4788,2
3,150,2
3,9962,1
3,9790,1
3,1283,1
3,9049,1
3,9215,1
3,4,3
3,6745,2
3,247,3
3,1378,1
3,420,1
3,815,1
3,104,1
3,6212,1
3,1142,1
3,184,1
3,8389,1
3,1025,1
3,4715,1
3,8492,3
3,977,3
3,2615,1
3,265,2
3,2190,2
3,2403,2
3,905,2
3,2963,3
3,9966,1
3,3700,1
3,773,2
3,715,3
3,782,2
3,599,1
3,4290,2
3,660,1
3,9533,1
3,1953,1
3,1598,1
3,501,1
3,427,2
3,7401,4
3,138,2
3,229,2
3,77,1
3,738,1
3,6607,1
3,4686,1
3,5347,1
3,410,3
3,117,1
3,59,3
3,484,1
3,177,2
3,1928,2
3,1005,2
3,118,3
3,1714,3
3,4057,1
3,3311,3
3,5395,1
3,883,1
3,76,1
3,1664,2
3,587,1
3,471,1
3,3229,1
3,2235,1
3,101,1
3,28,2
3,765,3
3,55,1
3,119,1
3,5932,3
3,2010,2
3,13,2
3,1078,3
3,1929,3
3,9014,1
3,1068,3
3,2680,1
3,531,2
3,301,1
4,127,4
4,344,3
4,14,3
4,508,3
4,121,1
4,94,1
4,704,3
4,230,4
4,1265,4
4,181,3
4,54,4
4,354,3
4,326,3
4,3237,4
4,72,3
4,62,4
4,7,4
4,265,5
4,25,5
4,97,3
4,93,5
4,540,4
4,19,2
4,129,4
4,381,1
4,162,1
4,8464,5
4,1573,1
4,22,1
4,321,5
4,903,3
4,879,5
4,705,3
4,243,3
4,383,5
3,659,3
1,4691,4
1,238,2
1,2063,4
1,916,3
1,4614,1
1,111,3
1,11,5
1,1644,5
1,3889,3
1,136,5
1,6665,4
1,150,3
1,35,5
1,33,4
1,60,3
1,148,3
1,10,4
1,94,1
1,4,5
1,492,2
1,57,3
1,1521,5
1,70,5
1,42,3
1,103,3
1,36,4
1,138,2
1,119,3
1,32,4
1,13,4
1,66,4
1,3406,2
1,2002,5
1,43,4
1,287,3
1,1041,5
1,45,5
3,4090,5
3,32,2
3,58,2
3,15,3
3,255,2
1,38,2
1,67,3
1,46,4
1,22,3
1,115,3
1,31,4
1,16,3
1,132,3
1,40,2
1,407,2
1,256,3
1,273,3
1,378,3
1,329,4
1,98,3
1,216,3
1,1176,4
1,140,3
1,869,4
1,2679,3
1,1310,4
1,414,4
1,54,3
1,85,3
1,219,4
1,177,5
1,109,3
1,131,4
1,102,5
1,95,4
1,225,4
1,76,3
1,100,4
1,171,3
1,179,2
1,255,1
1,485,4
1,325,3
1,498,4
1,323,3
1,162,4
1,72,3
1,233,4
1,496,3
1,306,3
1,354,3
1,1030,4
1,1055,4
1,2770,4
1,198,4
1,1761,4
1,1942,3
1,128,5
1,81,5
5,7601,4
5,441,4
5,6344,4
5,4335,4
5,1485,4
5,1145,4
5,2592,4
5,431,3
5,326,3
5,887,3
5,6014,3
5,3037,4
5,1795,3
5,305,4
5,1339,3
5,57,4
5,8072,5
5,4187,4
5,5791,4
5,4897,4
1,5191,4
5,8884,3
5,4997,4
2,128,5
2,4059,4
2,3305,4
2,8034,4
2,284,5
2,127,5
2,193,5
2,211,5
2,9344,4
5,6774,4
5,2637,5
5,1742,4
2,360,5
2,15,5
2,66,3
2,125,4
2,54,5
2,264,3
2,5,5
2,8,4
5,3267,4
2,932,5
2,630,5
2,131,5
2,573,2
2,303,2
1,1187,5
1,2535,5
1,3294,5
1,4893,3
1,1180,4
1,6285,4
1,2133,5
1,1011,4
5,4829,3
5,7591,4
5,262,4
5,4736,3
5,2813,3
5,164,5
5,2888,4
5,8258,4
5,112,4
5,695,4
5,4305,4
5,1328,2
5,3559,3
5,3429,4
5,458,5
5,1009,2
5,277,4
5,3378,4
5,7141,4
5,2207,4
5,1563,4
5,1195,5
5,6,4
5,1347,5
5,1325,4
5,623,5
5,6510,4
5,4131,5
5,1182,5
5,5289,5
5,8143,4
5,473,4
5,5167,5
5,3744,5
5,4539,2
5,2431,3
5,1770,5
5,7474,4
5,5143,5
5,4344,5
5,6404,5
5,7891,5
5,4947,5
5,626,4
5,4247,5
5,1723,4
5,2396,4
5,253,4
5,1628,5
5,6703,4
5,794,5
5,5766,4
5,3647,4
5,1882,4
5,2602,4
5,3380,4
5,1744,3
5,1911,4
5,139,3
5,4380,4
5,4546,4
5,5117,5
5,6151,4
5,4942,4
5,451,5
1,262,3
1,437,4
1,421,5
1,143,5
5,1345,5
5,3691,3
5,852,5
5,4786,4
5,7933,3
5,6646,4
5,1941,4
2,236,5
2,8855,5
2,1446,5
2,9762,4
2,7402,5
2,7341,3
2,1705,4
2,6384,5
2,8014,5
2,664,4
2,82,5
2,790,3
2,7233,5
2,3122,3
2,1096,3
2,114,5
2,2,5
2,2166,5
2,29,3
2,160,5
2,10,5
2,23,5
2,21,5
2,27,5
2,24,5
2,18,5
2,25,5
2,118,4
2,109,5
2,920,4
1,142,4
1,642,4
1,901,4
1,212,3
1,231,3
5,4011,4
2,2139,5
2,80,5
5,7487,5
